"","ctry","subj","packet","version","question","batc","entr","date","response"
"1","us",10001,1,2,"demo_chur","first","dominic","2017-12-05","none"
"2","us",10001,1,2,"demo_chur","second","lucy","2017-12-05",NA
"3","us",10001,1,2,"demo_maj","first","dominic","2017-12-05","comm"
"4","us",10001,1,2,"demo_maj","second","lucy","2017-12-05","communications"
"5","us",10001,2,1,"demo_chur","first","dominic","2017-12-06","none"
"6","us",10001,2,1,"demo_chur","second","lucy","2017-12-05",NA
"7","us",10001,3,2,"demo_chur","first","lucy","2017-12-08",NA
"8","us",10001,3,2,"demo_chur","second","dominic","2017-12-13","none"
"9","us",10003,1,2,"demo_ethn","first","dominic","2017-12-04","hispanics"
"10","us",10003,1,2,"demo_ethn","second","lucy","2017-12-04","hispanic"
"11","us",10003,1,2,"demo_rlgn","first","dominic","2017-12-04","christianity: non specific"
"12","us",10003,1,2,"demo_rlgn","second","lucy","2017-12-04","christian: non specific"
"13","us",10005,1,1,"demo_chur","first","dominic","2017-12-01","none"
"14","us",10005,1,1,"demo_chur","second","lucy","2017-12-08",NA
"15","us",10005,1,1,"demo_tung","first","dominic","2017-12-01","missing data"
"16","us",10005,1,1,"demo_tung","second","lucy","2017-12-08","no"
"17","us",10005,2,2,"demo_chur","first","nikki","2017-12-15","n/a"
"18","us",10005,2,2,"demo_chur","second","lucy","2017-12-06",NA
"19","us",10005,2,2,"demo_ethn","first","nikki","2017-12-15","mexican american"
"20","us",10005,2,2,"demo_ethn","second","lucy","2017-12-06","mexican-american"
"21","us",10005,3,1,"demo_chur","first","nikki","2017-12-15","n/a"
"22","us",10005,3,1,"demo_chur","second","lucy","2017-12-07",NA
"23","us",10006,3,2,"demo_pocc","first","dominic","2017-12-12","construction/teacher aide"
"24","us",10006,3,2,"demo_pocc","second","lucy","2017-12-07","construction / teacher aide"
"25","us",10010,1,1,"demo_maj","first","dominic","2017-12-04","bus"
"26","us",10010,1,1,"demo_maj","second","nikki","2017-12-12","business"
"27","us",10010,1,1,"demo_rlgn","first","dominic","2017-12-04","christian: non specific"
"28","us",10010,1,1,"demo_rlgn","second","nikki","2017-12-12","christian: non- specific"
"29","us",10011,3,1,"demo_chur","first","lucy","2017-12-07","none"
"30","us",10011,3,1,"demo_chur","second","dominic","2017-12-11",NA
"31","us",10011,3,1,"demo_tung","first","lucy","2017-12-07","no"
"32","us",10011,3,1,"demo_tung","second","dominic","2017-12-11","missing data"
"33","us",10012,1,2,"demo_chur","first","nikki","2017-12-14","i don't know"
"34","us",10012,1,2,"demo_chur","second","lucy","2017-12-05","i'm not sure"
"35","us",10012,1,2,"recr","first","nikki","2017-12-14","fcae to face"
"36","us",10012,1,2,"recr","second","lucy","2017-12-05","face to face"
"37","us",10013,1,1,"demo_chur","first","dominic","2017-12-01","msa"
"38","us",10013,1,1,"demo_chur","second","nikki","2017-12-12","msa?"
"39","us",10013,1,1,"demo_tung","first","dominic","2017-12-01","missing data"
"40","us",10013,1,1,"demo_tung","second","nikki","2017-12-12","no"
"41","us",10013,2,1,"demo_tung","first","lucy","2017-12-05","no"
"42","us",10013,2,1,"demo_tung","second","dominic","2017-12-06","missing data"
"43","us",10013,3,1,"demo_chur","first","dominic","2017-12-11","mosque/msa (muslim students association)"
"44","us",10013,3,1,"demo_chur","second","lucy","2017-12-07","mosque / msa (muslim students association)"
"45","us",10017,3,1,"demo_maj","first","dominic","2017-12-11","communicaitons"
"46","us",10017,3,1,"demo_maj","second","lucy","2017-12-07","communications"
"47","us",10019,2,1,"demo_ethn","first","lucy","2017-12-05","mexican - american"
"48","us",10019,2,1,"demo_ethn","second","dominic","2017-12-05","mexican-american"
"49","us",10019,2,1,"demo_pocc","first","lucy","2017-12-05","business owner"
"50","us",10019,2,1,"demo_pocc","second","dominic","2017-12-05","business owners"
"51","us",10020,1,2,"demo_tung","first","dominic","2017-12-05","missing data"
"52","us",10020,1,2,"demo_tung","second","nikki","2017-12-14","no"
"53","us",10020,2,1,"demo_chur","first","dominic","2017-12-05","none"
"54","us",10020,2,1,"demo_chur","second","nikki","2017-12-14","n/a"
"55","us",10020,2,1,"demo_tung","first","dominic","2017-12-05","missing data"
"56","us",10020,2,1,"demo_tung","second","nikki","2017-12-14","no"
"57","us",10021,3,1,"demo_maj","first","dominic","2017-11-20","business administration"
"58","us",10021,3,1,"demo_maj","second","lucy","2017-11-20","business administration: hr"
"59","us",10021,3,1,"wher","first","dominic","2017-11-20","sjsu"
"60","us",10021,3,1,"wher","second","lucy","2017-11-20","san jose state university"
"61","us",10022,1,2,"demo_maj","first","nikki","2017-12-13","computer engineer"
"62","us",10022,1,2,"demo_maj","second","lucy","2017-12-04","computer engineering"
"63","us",10022,1,2,"demo_tung","first","nikki","2017-12-13","no"
"64","us",10022,1,2,"demo_tung","second","lucy","2017-12-04","missing data"
"65","us",10025,1,1,"demo_chur","first","nikki","2017-12-12","n/a"
"66","us",10025,1,1,"demo_chur","second","lucy","2017-12-01",NA
"67","us",10025,2,2,"demo_tung","first","dominic","2017-12-07","missing data"
"68","us",10025,2,2,"demo_tung","second","lucy","2017-12-15","no"
"69","us",10025,3,2,"demo_tung","first","dominic","2017-12-12","missing data"
"70","us",10025,3,2,"demo_tung","second","lucy","2017-12-03","no"
"71","us",10026,1,2,"demo_chur","first","nikki","2017-12-13","n/a"
"72","us",10026,1,2,"demo_chur","second","lucy","2017-12-04",NA
"73","us",10026,2,2,"demo_chur","first","dominic","2017-12-07","none"
"74","us",10026,2,2,"demo_chur","second","lucy","2017-12-15",NA
"75","us",10026,2,2,"demo_tung","first","dominic","2017-12-07","missing data"
"76","us",10026,2,2,"demo_tung","second","lucy","2017-12-15","no"
"77","us",10026,3,1,"demo_chur","first","dominic","2017-12-07","none"
"78","us",10026,3,1,"demo_chur","second","lucy","2017-12-15",NA
"79","us",10026,3,1,"demo_tung","first","dominic","2017-12-07","missing data"
"80","us",10026,3,1,"demo_tung","second","lucy","2017-12-15","no"
"81","us",10027,1,2,"demo_pocc","first","dominic","2017-12-04","missing data"
"82","us",10027,1,2,"demo_pocc","second","lucy","2017-12-04","ontario / moreno valley"
"83","us",10027,1,2,"demo_tung","first","dominic","2017-12-04","missing data"
"84","us",10027,1,2,"demo_tung","second","lucy","2017-12-04","no"
"85","us",10027,2,2,"demo_ethn","first","nikki","2017-12-15","black/costa rican"
"86","us",10027,2,2,"demo_ethn","second","lucy","2017-12-06","black / costa rican"
"87","us",10027,2,2,"demo_maj","first","nikki","2017-12-15","aviation?"
"88","us",10027,2,2,"demo_maj","second","lucy","2017-12-06","aviation"
"89","us",10027,3,2,"demo_ethn","first","lucy","2017-12-08","black / costarican"
"90","us",10027,3,2,"demo_ethn","second","dominic","2017-12-12","black/costa rican"
"91","us",10028,1,1,"demo_chur","first","nikki","2017-12-12","n/a"
"92","us",10028,1,1,"demo_chur","second","lucy","2017-11-30",NA
"93","us",10028,1,1,"demo_rlgn","first","nikki","2017-12-12","christian: non-specific"
"94","us",10028,1,1,"demo_rlgn","second","lucy","2017-11-30","christian : non specified"
"95","us",10028,1,1,"wher","first","nikki","2017-12-12","sjsu res"
"96","us",10028,1,1,"wher","second","lucy","2017-11-30","sjsu"
"97","us",10028,2,1,"demo_chur","first","nikki","2017-12-14","n/a"
"98","us",10028,2,1,"demo_chur","second","lucy","2017-12-05",NA
"99","us",10028,2,1,"demo_pocc","first","nikki","2017-12-14","n/a"
"100","us",10028,2,1,"demo_pocc","second","lucy","2017-12-05",NA
"101","us",10030,1,2,"demo_maj","first","dominic","2017-12-04","environmental studies"
"102","us",10030,1,2,"demo_maj","second","lucy","2017-12-04","environment studies"
"103","us",10031,2,1,"demo_chur","first","dominic","2017-12-05",NA
"104","us",10031,2,1,"demo_chur","second","nikki","2017-12-14","n/a"
"105","us",10031,2,1,"demo_tung","first","dominic","2017-12-05","missing data"
"106","us",10031,2,1,"demo_tung","second","nikki","2017-12-14","no"
"107","us",10031,3,2,"demo_chur","first","lucy","2017-12-08","none"
"108","us",10031,3,2,"demo_chur","second","dominic","2017-12-12",NA
"109","us",10031,3,2,"demo_tung","first","lucy","2017-12-08","no"
"110","us",10031,3,2,"demo_tung","second","dominic","2017-12-12","missing data"
"111","us",10032,2,2,"demo_chur","first","dominic","2017-12-06",NA
"112","us",10032,2,2,"demo_chur","second","nikki","2017-12-14","none"
"113","us",10032,2,2,"demo_pocc","first","dominic","2017-12-06","1"
"114","us",10032,2,2,"demo_pocc","second","nikki","2017-12-14","missing data"
"115","us",10032,2,2,"demo_tung","first","dominic","2017-12-06","missing data"
"116","us",10032,2,2,"demo_tung","second","nikki","2017-12-14","no"
"117","us",10033,1,2,"demo_chur","first","dominic","2017-12-04",NA
"118","us",10033,1,2,"demo_chur","second","nikki","2017-12-13","n/a"
"119","us",10034,1,1,"demo_chur","first","dominic","2017-12-01",NA
